2025-12-09 12:13:18,457 | INFO | __main__ | 
📥 Reading source: fashion_sales_csv
2025-12-09 12:13:18,461 | INFO | __main__ |    Loaded 99 rows
2025-12-09 12:13:18,468 | INFO | __main__ |    After casting: 81 valid rows, 18 rejected rows
2025-12-09 12:13:20,872 | INFO | src.load |    Logged 18 rejected rows to stg_rejects (type_cast_failed)
2025-12-09 12:13:20,875 | INFO | __main__ |    After rules:   81 valid, 0 rejected
2025-12-09 12:13:20,878 | INFO | __main__ |    After cleaning: 81 rows ready for load
2025-12-09 12:13:21,031 | INFO | src.load |    UPSERTED 81 rows into stg_fashion_sales.
2025-12-09 12:21:06,068 | INFO | __main__ | 📥 Reading source: fashion_sales_csv
2025-12-09 12:21:06,073 | INFO | __main__ |    Loaded 99 rows
2025-12-09 12:21:06,073 | INFO | __main__ |    Missing columns: set()
2025-12-09 12:21:06,081 | INFO | __main__ |    After casting: 81 valid rows, 18 rejected rows
2025-12-09 12:21:06,183 | INFO | src.load |    Logged 18 rejected rows to stg_rejects (type_cast_failed)
2025-12-09 12:21:06,185 | INFO | __main__ |    After rules:   81 valid, 0 rejected
2025-12-09 12:21:06,188 | INFO | __main__ |    After cleaning: 81 rows ready for load
2025-12-09 12:21:06,277 | INFO | src.load |    UPSERTED 81 rows into stg_fashion_sales.
2025-12-09 13:44:28,455 | INFO | __main__ | 📥 Reading source: fashion_sales_csv
2025-12-09 13:44:28,457 | INFO | __main__ |    Loaded 99 rows
2025-12-09 13:44:28,457 | INFO | __main__ |    Missing columns: set()
2025-12-09 13:44:28,460 | INFO | __main__ |    After casting: 81 valid rows, 18 rejected rows
2025-12-09 13:44:28,746 | INFO | src.load |    Logged 18 rejected rows to stg_rejects (type_cast_failed)
2025-12-09 13:44:28,748 | INFO | __main__ |    After rules:   81 valid, 0 rejected
2025-12-09 13:44:28,750 | INFO | __main__ |    After cleaning: 81 rows ready for load
2025-12-09 13:44:28,881 | INFO | src.load |    UPSERTED 81 rows into stg_fashion_sales.
2025-12-09 13:44:28,882 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 13:44:28,882 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 13:44:28,882 | INFO | __main__ | Loaded (raw): 99
2025-12-09 13:44:28,882 | INFO | __main__ | Valid after cast: 81
2025-12-09 13:44:28,882 | INFO | __main__ | Rejected rows: 18
2025-12-09 13:44:28,882 | INFO | __main__ | Valid after rules: 81
2025-12-09 13:44:28,882 | INFO | __main__ | Loaded into DB: 81
2025-12-09 13:44:28,882 | INFO | __main__ | Runtime: 0.43 seconds
2025-12-09 13:44:28,882 | INFO | __main__ | ----------------------

2025-12-09 13:45:26,645 | INFO | __main__ | 📥 Reading source: fashion_sales_csv
2025-12-09 13:45:26,649 | INFO | __main__ |    Loaded 99 rows
2025-12-09 13:45:26,649 | INFO | __main__ |    Missing columns: set()
2025-12-09 13:45:26,655 | INFO | __main__ |    After casting: 81 valid rows, 18 rejected rows
2025-12-09 13:45:26,755 | INFO | src.load |    Logged 18 rejected rows to stg_rejects (type_cast_failed)
2025-12-09 13:45:26,757 | INFO | __main__ |    After rules:   81 valid, 0 rejected
2025-12-09 13:45:26,760 | INFO | __main__ |    After cleaning: 81 rows ready for load
2025-12-09 13:45:26,834 | INFO | src.load |    UPSERTED 81 rows into stg_fashion_sales.
2025-12-09 13:45:26,834 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 13:45:26,834 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 13:45:26,834 | INFO | __main__ | Loaded (raw): 99
2025-12-09 13:45:26,834 | INFO | __main__ | Valid after cast: 81
2025-12-09 13:45:26,834 | INFO | __main__ | Rejected rows: 18
2025-12-09 13:45:26,834 | INFO | __main__ | Valid after rules: 81
2025-12-09 13:45:26,834 | INFO | __main__ | Loaded into DB: 81
2025-12-09 13:45:26,834 | INFO | __main__ | Runtime: 0.19 seconds
2025-12-09 13:45:56,157 | INFO | __main__ | 📥 Reading source: fashion_sales_csv
2025-12-09 13:45:56,162 | INFO | __main__ |    Loaded 99 rows
2025-12-09 13:45:56,162 | INFO | __main__ |    Missing columns: set()
2025-12-09 13:45:56,167 | INFO | __main__ |    After casting: 81 valid rows, 18 rejected rows
2025-12-09 13:45:56,263 | INFO | src.load |    Logged 18 rejected rows to stg_rejects (type_cast_failed)
2025-12-09 13:45:56,266 | INFO | __main__ |    After rules:   81 valid, 0 rejected
2025-12-09 13:45:56,268 | INFO | __main__ |    After cleaning: 81 rows ready for load
2025-12-09 13:45:56,339 | INFO | src.load |    UPSERTED 81 rows into stg_fashion_sales.
2025-12-09 13:45:56,339 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 13:45:56,339 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 13:45:56,339 | INFO | __main__ | Loaded (raw): 99
2025-12-09 13:45:56,339 | INFO | __main__ | Valid after cast: 81
2025-12-09 13:45:56,339 | INFO | __main__ | Rejected rows: 18
2025-12-09 13:45:56,339 | INFO | __main__ | Valid after rules: 81
2025-12-09 13:45:56,339 | INFO | __main__ | Loaded into DB: 81
2025-12-09 13:45:56,339 | INFO | __main__ | Runtime: 0.18 seconds
2025-12-09 13:56:12,140 | INFO | __main__ |    After casting: 81 valid rows, 18 rejected rows
2025-12-09 13:56:12,677 | INFO | __main__ | 
--- RUN SUMMARY ---
2025-12-09 13:56:12,677 | INFO | __main__ | Source: fashion_sales_csv
2025-12-09 13:56:12,677 | INFO | __main__ | Loaded (raw): 99
2025-12-09 13:56:12,677 | INFO | __main__ | Valid after cast: 81
2025-12-09 13:56:12,677 | INFO | __main__ | Rejected rows: 18
2025-12-09 13:56:12,677 | INFO | __main__ | Valid after rules: 81
2025-12-09 13:56:12,677 | INFO | __main__ | Loaded into DB: 81
2025-12-09 13:56:12,677 | INFO | __main__ | Runtime: 0.55 seconds
2025-12-09 13:56:31,494 | INFO | __main__ |    After casting: 81 valid rows, 18 rejected rows
2025-12-09 13:56:31,661 | INFO | __main__ | 
